id,path,gun_name,caliber,gun_type,device
0,./BoltAction22_iPhone/IP_004A_S01.wav,BoltAction22,.22,Rifle,iPhone
1,./BoltAction22_iPhone/IP_004A_S02.wav,BoltAction22,.22,Rifle,iPhone
2,./BoltAction22_iPhone/IP_004A_S03.wav,BoltAction22,.22,Rifle,iPhone
3,./BoltAction22_iPhone/IP_004A_S04.wav,BoltAction22,.22,Rifle,iPhone
4,./BoltAction22_iPhone/IP_004A_S05.wav,BoltAction22,.22,Rifle,iPhone
5,./BoltAction22_iPhone/IP_004A_S06.wav,BoltAction22,.22,Rifle,iPhone
6,./BoltAction22_iPhone/IP_004B_S01.wav,BoltAction22,.22,Rifle,iPhone
7,./BoltAction22_iPhone/IP_004B_S02.wav,BoltAction22,.22,Rifle,iPhone
8,./BoltAction22_iPhone/IP_004B_S03.wav,BoltAction22,.22,Rifle,iPhone
9,./BoltAction22_iPhone/IP_004B_S04.wav,BoltAction22,.22,Rifle,iPhone
10,./BoltAction22_iPhone/IP_004B_S05.wav,BoltAction22,.22,Rifle,iPhone
11,./BoltAction22_iPhone/IP_004B_S06.wav,BoltAction22,.22,Rifle,iPhone
12,./BoltAction22_iPhone/IP_044A_S01.wav,BoltAction22,.22,Rifle,iPhone
13,./BoltAction22_iPhone/IP_044A_S02.wav,BoltAction22,.22,Rifle,iPhone
14,./BoltAction22_iPhone/IP_044A_S03.wav,BoltAction22,.22,Rifle,iPhone
15,./BoltAction22_iPhone/IP_044A_S04.wav,BoltAction22,.22,Rifle,iPhone
16,./BoltAction22_iPhone/IP_044A_S05.wav,BoltAction22,.22,Rifle,iPhone
17,./BoltAction22_iPhone/IP_044A_S06.wav,BoltAction22,.22,Rifle,iPhone
18,./BoltAction22_iPhone/IP_044B_S01.wav,BoltAction22,.22,Rifle,iPhone
19,./BoltAction22_iPhone/IP_044B_S02.wav,BoltAction22,.22,Rifle,iPhone
20,./BoltAction22_iPhone/IP_044B_S03.wav,BoltAction22,.22,Rifle,iPhone
21,./BoltAction22_iPhone/IP_044B_S04.wav,BoltAction22,.22,Rifle,iPhone
22,./BoltAction22_iPhone/IP_044B_S05.wav,BoltAction22,.22,Rifle,iPhone
23,./BoltAction22_iPhone/IP_044B_S06.wav,BoltAction22,.22,Rifle,iPhone
24,./BoltAction22_iPhone/IP_064A_S01.wav,BoltAction22,.22,Rifle,iPhone
25,./BoltAction22_iPhone/IP_064A_S02.wav,BoltAction22,.22,Rifle,iPhone
26,./BoltAction22_iPhone/IP_064A_S03.wav,BoltAction22,.22,Rifle,iPhone
27,./BoltAction22_iPhone/IP_064A_S04.wav,BoltAction22,.22,Rifle,iPhone
28,./BoltAction22_iPhone/IP_064A_S05.wav,BoltAction22,.22,Rifle,iPhone
29,./BoltAction22_iPhone/IP_064A_S06.wav,BoltAction22,.22,Rifle,iPhone
30,./BoltAction22_iPhone/IP_064B_S01.wav,BoltAction22,.22,Rifle,iPhone
31,./BoltAction22_iPhone/IP_064B_S02.wav,BoltAction22,.22,Rifle,iPhone
32,./BoltAction22_iPhone/IP_064B_S03.wav,BoltAction22,.22,Rifle,iPhone
33,./BoltAction22_iPhone/IP_064B_S04.wav,BoltAction22,.22,Rifle,iPhone
34,./BoltAction22_iPhone/IP_064B_S05.wav,BoltAction22,.22,Rifle,iPhone
35,./BoltAction22_iPhone/IP_064B_S06.wav,BoltAction22,.22,Rifle,iPhone
36,./BoltAction22_iPhone/IP_084A_S01.wav,BoltAction22,.22,Rifle,iPhone
37,./BoltAction22_iPhone/IP_084A_S02.wav,BoltAction22,.22,Rifle,iPhone
38,./BoltAction22_iPhone/IP_084A_S03.wav,BoltAction22,.22,Rifle,iPhone
